Date,Description,Category,Cost,Currency,Gus,Joules
1/1/26,Rent,Rent,600,EUR,600,0
1/1/26,Electricity,Electricity,60,EUR,60,0
1/1/26,Heat,Heat,60,EUR,60,0
1/1/26,Bus/train,Bus/train,35,EUR,35,0
1/1/26,TV/Phone/Internet,TV/Phone/Internet,20,EUR,20,0
1/12/25,Rent,Rent,600,EUR,600,0
1/12/25,Electricity,Electricity,60,EUR,60,0
1/12/25,Gas,Heat,60,EUR,60,0
1/12/25,Bus,Bus/train,35,EUR,35,0
1/12/25,Wifi,TV/Phone/Internet,20,EUR,20,0
1/11/25,Rent,Rent,600,EUR,600,0
1/11/25,Electricity,Electricity,60,EUR,60,0
1/11/25,Gas,Heat,60,EUR,60,0
1/11/25,Bus,Bus/train,35,EUR,35,0
1/11/25,Wifi,TV/Phone/Internet,20,EUR,20,0
1/10/25,Rent,Rent,600,EUR,600,0
1/10/25,Electricity,Electricity,60,EUR,60,0
1/10/25,Gas,Heat,60,EUR,60,0
1/10/25,Bus,Bus/train,35,EUR,35,0
1/10/25,Wifi,TV/Phone/Internet,20,EUR,20,0
1/9/25,Rent,Rent,600,EUR,600,0
1/9/25,Electricity,Electricity,60,EUR,60,0
1/9/25,Gas,Heat,60,EUR,60,0
1/9/25,Bus,Bus/train,35,EUR,35,0
1/9/25,Wifi,TV/Phone/Internet,20,EUR,20,0
1/9/25,Rent,Rent,600,EUR,600,0
1/8/25,Electricity,Electricity,60,EUR,60,0
1/8/25,Gas,Heat,60,EUR,60,0
1/8/25,Bus,Bus/train,35,EUR,35,0
1/8/25,Wifi,TV/Phone/Internet,20,EUR,20,0
1/7/25,Rent,Rent,600,EUR,600,0
1/7/25,Electricity,Electricity,60,EUR,60,0
1/7/25,Gas,Heat,60,EUR,60,0
1/7/25,Bus,Bus/train,35,EUR,35,0
1/7/25,Wifi,TV/Phone/Internet,20,EUR,20,0
1/6/25,Rent,Rent,600,EUR,600,0
1/6/25,Electricity,Electricity,60,EUR,60,0
1/6/25,Gas,Heat,60,EUR,60,0
1/6/25,Bus,Bus/train,35,EUR,35,0
1/6/25,Wifi,TV/Phone/Internet,20,EUR,20,0
1/5/25,Rent,Rent,600,EUR,600,0
1/5/25,Electricity,Electricity,60,EUR,60,0
1/5/25,Gas,Heat,60,EUR,60,0
1/5/25,Bus,Bus/train,35,EUR,35,0
1/5/25,Wifi,TV/Phone/Internet,20,EUR,20,0
1/4/25,Rent,Rent,600,EUR,600,0
1/4/25,Electricity,Electricity,60,EUR,60,0
1/4/25,Gas,Heat,60,EUR,60,0
1/4/25,Bus,Bus/train,35,EUR,35,0
1/4/25,Wifi,TV/Phone/Internet,20,EUR,20,0
1/3/25,Rent,Rent,600,EUR,600,0
1/3/25,Electricity,Electricity,60,EUR,60,0
1/3/25,Gas,Heat,60,EUR,60,0
1/3/25,Bus,Bus/train,35,EUR,35,0
1/3/25,Wifi,TV/Phone/Internet,20,EUR,20,0
1/2/25,Rent,Rent,600,EUR,600,0
1/2/25,Electricity,Electricity,60,EUR,60,0
1/2/25,Gas,Heat,60,EUR,60,0
1/2/25,Bus,Bus/train,35,EUR,35,0
1/2/25,Wifi,TV/Phone/Internet,20,EUR,20,0
1/12/24,Rent,Rent,600,EUR,600,0
1/12/24,Electricity,Electricity,60,EUR,60,0
1/12/24,Gas,Heat,60,EUR,60,0
1/12/24,Bus,Bus/train,35,EUR,35,0
1/12/24,Wifi,TV/Phone/Internet,20,EUR,20,0
1/11/24,Rent,Rent,600,EUR,600,0
1/11/24,Electricity,Electricity,60,EUR,60,0
1/11/24,Gas,Heat,60,EUR,60,0
1/11/24,Bus,Bus/train,35,EUR,35,0
1/11/24,Wifi,TV/Phone/Internet,20,EUR,20,0
1/10/24,Rent,Rent,600,EUR,600,0
1/10/24,Electricity,Electricity,60,EUR,60,0
1/10/24,Gas,Heat,60,EUR,60,0
1/10/24,Bus,Bus/train,35,EUR,35,0
1/10/24,Wifi,TV/Phone/Internet,20,EUR,20,0
1/9/24,Rent,Rent,600,EUR,600,0
1/9/24,Electricity,Electricity,60,EUR,60,0
1/9/24,Gas,Heat,60,EUR,60,0
1/9/24,Bus,Bus/train,35,EUR,35,0
1/9/24,Wifi,TV/Phone/Internet,20,EUR,20,0
